Topic,Media,Sentence,Sentiment
koœció³,Onet,Arcybiskup S³awoj Leszek G³ódŸ przeprasza ofiary pedofilii,"{'smutek': 4, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Onet,"Stanis³aw Piotrowicz „wiedzia³, ¿e kryje pedofila”. Teraz ma nadzorowaæ pracê nad antypedofilsk¹ ustaw¹","{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Onet,PiS chce zapobiec strajkowi nauczycieli. W typowy dla siebie sposób,"{'cieszenie siê na coœ oczekiwanego': 1, 'z³oœæ': 1}"

pis,Onet,"Stanis³aw Piotrowicz „wiedzia³, ¿e kryje pedofila”. Teraz ma nadzorowaæ pracê nad antypedofilsk¹ ustaw¹","{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Onet,PiS chce zapobiec strajkowi nauczycieli. W typowy dla siebie sposób,"{'cieszenie siê na coœ oczekiwanego': 1, 'z³oœæ': 1}"

pis,Onet,"Stanis³aw Piotrowicz „wiedzia³, ¿e kryje pedofila”. Teraz ma nadzorowaæ pracê nad antypedofilsk¹ ustaw¹","{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Onet,PiS chce zapobiec strajkowi nauczycieli. W typowy dla siebie sposób,"{'cieszenie siê na coœ oczekiwanego': 1, 'z³oœæ': 1}"

polska,Onet,"W³adze Polski i Izraela podsycaj¹ wzajemny konflikt. Teraz widaæ, jak powa¿ne mog¹ byæ skutki","{'smutek': 2, 'strach': 2, 'z³oœæ': 1}"

polska,Onet,"W³adze Polski i Izraela podsycaj¹ wzajemny. Teraz widaæ, jak powa¿ne mog¹ byæ skutki","{'smutek': 1, 'strach': 1}"

polska,Onet,"W³adze Polski i Izraela podsycaj¹ konflikt. Teraz widaæ, jak powa¿ne mog¹ byæ skutki","{'smutek': 2, 'strach': 2, 'z³oœæ': 1}"

rz¹d,Onet,"Oplu³ i zwyzywa³ Magierowskiego, grozi mu za to piêæ lat wiêzienia Izraelska prokuratura postawi³a zarzuty sprawcy ataku","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"

rz¹d,Onet,"Oplu³ i zwyzywa³ Magierowskiego, grozi mu za to piêæ lat wiêzienia. Izraelska prokuratura postawi³a zarzuty sprawcy ataku","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"

wielka Brytania,Onet,Theresa May ma wreszcie konkurenta. Polityk z jej w³asnej partii rzuca premier rêkawicê,{'radoœæ': 3}

rz¹d,Onet,"Oplu³ i zwyzywa³ Magierowskiego, grozi mu za to piêæ lat wiêzienia. Izraelska prokuratura postawi³a zarzuty sprawcy ataku","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"

wielka Brytania,Onet,Theresa May ma wreszcie konkurenta. Polityk z jej w³asnej partii rzuca premier rêkawicê,{'radoœæ': 3}

rz¹d,Onet,"Oplu³ i zwyzywa³ Magierowskiego, grozi mu za to piêæ lat wiêzienia. Izraelska prokuratura postawi³a zarzuty sprawcy ataku","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"

rz¹d,Onet,Sejm uchwali³ nowelizacjê Kodeksu karnego ws.pedofilii,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Onet,Sonda¿ dla Newsweeka: Wielkie t¹pniêcie poparcia dla PiS. „To efekt filmu Sekielskiego”,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

polska,Onet,Polski Koœció³ czeka bunt ksiê¿y? Po „Tylko nie mów nikomu” coœ siê zmieni³o,"{'radoœæ': 3, 'z³oœæ': 6, 'smutek': 3, 'wstrêt': 3}"

pis,Onet,Sonda¿ dla Newsweeka: Wielkie t¹pniêcie poparcia dla PiS. „To efekt filmu Sekielskiego”,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

polska,Onet,Polski Koœció³ czeka bunt ksiê¿y? Po „Tylko nie mów nikomu” coœ siê zmieni³o,"{'radoœæ': 3, 'z³oœæ': 6, 'smutek': 3, 'wstrêt': 3}"

koalicja obywatelska,Onet,"Walka z pedofili¹ oznacza awanturê w Sejmie. Wystarczy³o, ¿e pose³ Nitras po³o¿y³ przed Kaczyñskim dzieciêce buciki","{'smutek': 1, 'strach': 2, 'wstrêt': 1, 'z³oœæ': 2}"

pis,Onet,"Modne polo na wakacje? Podpowiadamy, jaki model wybraæ","{'radoœæ': 1, 'zaufanie': 1}"

koalicja obywatelska,Onet,"Walka z pedofili¹ oznacza awanturê w Sejmie. Wystarczy³o, ¿e pose³ Nitras po³o¿y³ przed Kaczyñskim dzieciêce buciki","{'smutek': 1, 'strach': 2, 'wstrêt': 1, 'z³oœæ': 2}"

pis,Onet,"Modne polo na wakacje? Podpowiadamy, jaki model wybraæ","{'radoœæ': 1, 'zaufanie': 1}"

koalicja obywatelska,Onet,"Walka z pedofili¹ oznacza awanturê w Sejmie. Wystarczy³o, ¿e pose³ Nitras po³o¿y³ przed Kaczyñskim dzieciêce buciki","{'smutek': 1, 'strach': 2, 'wstrêt': 1, 'z³oœæ': 2}"

koalicja obywatelska,Onet,Sprawa LGBT. PO musi siê w koñcu na coœ zdecydowaæ,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Onet,K³opotliwa dzia³ka Morawieckiego. Za koœcielne grunty premier mo¿e zap³aciæ g³ow¹,"{'smutek': 2, 'zaskoczenie czymœ nieprzewidywanym': 2, 'z³oœæ': 2}"

ue,Onet,Ten lek dla chorych na raka refunduje niemal ca³a Europa. Polska z nieznanych powodów nie chce,"{'radoœæ': 2, 'smutek': 2, 'strach': 2, 'z³oœæ': 2}"

usa,Onet,Niewolnictwo w USA. Czarnoskórzy równie¿ mieli niewolników,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

ue,Onet,Ten lek dla chorych na raka refunduje niemal ca³a Europa. Polska z nieznanych powodów nie chce,"{'radoœæ': 2, 'smutek': 2, 'strach': 2, 'z³oœæ': 2}"

pis,Onet,S¹ sonda¿owe wyniki wyborów do Europarlamentu. PiS wygra³ z Koalicj¹ Europejsk¹ ,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

media,Onet,"Wieczór wyborczy Newsweeka, Onetu i Faktu: Co zrobi PSL","{'smutek': 2, 'z³oœæ': 2}"

pis,Onet,Oficjalne wyniki wyborów do Parlamentu Europejskiego: PiS wygrywa i zdobywa 27 mandatów,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

pis,Onet,By wygraæ PiS nie potrzebowa³ nawet przekonywaæ nowych grup wyborców,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

pis,Onet,Oficjalne wyniki wyborów do Parlamentu Europejskiego: PiS wygrywa i zdobywa 27 mandatów,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

koalicja obywatelska,Onet,Opozycja na zakrêcie. Czy dalsze jednoczenie ma sens?,{'zaufanie': 1}

pis,Onet,Beata Szyd³o atakuje Donalda Tuska. Czy to pocz¹tek walki o prezydenturê?,"{'smutek': 1, 'z³oœæ': 1}"

koœció³,Onet,Papie¿ Franciszek: Jan Pawe³ II bywa³ wprowadzany w b³¹d w sprawach skandali w Koœciele,{'wstrêt': 2}

pis,Onet,Beata Szyd³o atakuje Donalda Tuska. Czy to pocz¹tek walki o prezydenturê?,"{'smutek': 1, 'z³oœæ': 1}"

koœció³,Onet,Papie¿ Franciszek: Jan Pawe³ II bywa³ wprowadzany w b³¹d w sprawach skandali w Koœciele,{'wstrêt': 2}

pis,Onet,Beata Szyd³o atakuje Donalda Tuska. Czy to pocz¹tek walki o prezydenturê?,"{'smutek': 1, 'z³oœæ': 1}"

polska,Onet,Turystyczna Polska – rodzinny wypad na weekend,"{'radoœæ': 1, 'zaufanie': 1}"

pis,Onet,Zak³adnicy sukcesu. Mimo zwyciêstwa w PiS atmosfera daleka od euforii,"{'zaufanie': 1, 'radoœæ': 1}"

pedofilia,Onet,Pedofilia w Koœciele. „Dymisje hierarchów niczego nie za³atwi¹”,"{'smutek': 2, 'strach': 1, 'wstrêt': 2, 'z³oœæ': 2, 'radoœæ': 1, 'zaufanie': 1}"

pis,Onet,"Pierwszy rower dla kilkuletniego dziecka? Podpowiadamy, jaki wybraæ","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koalicja obywatelska,Onet,Tsunami umorzeñ. Od audytu rz¹dów PO-PSL minê³y trzy lata,"{'radoœæ': 2, 'smutek': 2}"

pis,Polityka,Aktywiœci Greenpeace zatrzymani za opakowanie siedziby PiS i PO,"{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rz¹d,Polityka,Czy MON wstrzyma³ dalszy zakup patriotów?,"{'zaufanie': 2, 'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 2}"

koalicja obywatelska,Polityka,Rozdaliœmy Nagrody Historyczne. Po raz 60.!,"{'radoœæ': 1, 'strach': 1, 'z³oœæ': 1}"

koalicja obywatelska,Polityka,Szybka jazda hulajnog¹ po chodniku? Zagro¿enia s¹ niema³e,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koœció³,Polityka,Episkopat do dymisji. Czy w Polsce to w ogóle mo¿liwe?,"{'radoœæ': 1, 'smutek': 1, 'zaufanie': 1}"

polska,Polityka,Polak na czele Œwiatowej Agencji Antydopingowej,{'radoœæ': 1}

pis,Polityka,"Jak walczyæ z pedofili¹ w Koœciele, gdy rz¹dzi PiS?","{'radoœæ': 2, 'wstrêt': 3, 'z³oœæ': 3, 'smutek': 2, 'strach': 1}"

koœció³,Polityka,Niewiarygodne oœwiadczenie abp. G³ódzia,"{'smutek': 2, 'z³oœæ': 2}"

Chiny,Polityka,Dlaczego Chiny wchodz¹ do gry w konflikcie wenezuelskim,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koœció³,Polityka,Niewiarygodne oœwiadczenie abp. G³ódzia,"{'smutek': 2, 'z³oœæ': 2}"

Chiny,Polityka,Chiny wchodz¹ do gry w konflikcie wenezuelskim,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

usa,Polityka,Czy Trump odbierze Amerykanom legaln¹ aborcjê?,{'zaufanie': 1}

koalicja obywatelska,Polityka,Dwa lata po Czarnym Proteœcie. Polkom wci¹¿ odmawia siê legalnej aborcji,"{'radoœæ': 1, 'smutek': 1, 'z³oœæ': 1, 'zaufanie': 1}"

niemcy,Polityka,"Günter Verheugen o tym, dlaczego Polska nie mia³aby dziœ szans na wejœcie do Unii","{'radoœæ': 2, 'zaufanie': 2}"

ue,Polityka,"Bruksela wci¹¿ ma nadziejê, ¿e grillowanie Polski spowolni reformy PiS","{'radoœæ': 6, 'wstrêt': 3, 'zaufanie': 3, 'z³oœæ': 3, 'smutek': 3}"

Chiny,Polityka,Dlaczego Chiny wchodz¹ do gry w konflikcie wenezuelskim?,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

polska,Polityka,Polska nie mia³aby dziœ szans na wejœcie do Unii,"{'radoœæ': 1, 'zaufanie': 1}"

Chiny,Polityka,Dlaczego Chiny wchodz¹ do gry w wenezuelskim konflikcie?,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koœció³,Polityka,Oœwiadczenie abp. G³ódzia jest niewiarygodne,"{'smutek': 2, 'z³oœæ': 2}"

polska,Polityka,Dziœ Polska nie mia³aby szans na wejœcie do Unii,"{'radoœæ': 1, 'zaufanie': 1}"

polska,Polityka,Polski handel pod ostrza³em PiS: bêd¹ ofiary,{'smutek': 2}

pis,Polityka,Czy film Sekielskich mo¿e zaszkodziæ PiS? Mo¿e,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

pis,Polityka,Pod pretekstem walki z pedofili¹ PiS zmienia Kodeks karny,"{'wstrêt': 2, 'z³oœæ': 2, 'smutek': 1, 'strach': 1}"

rz¹d,Polityka,Czy MON wstrzyma³ dalszy zakup patriotów?,"{'zaufanie': 2, 'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 2}"

pis,Polityka,"SprawdŸ, jaki œlad wêglowy zostawiasz",{'zaufanie': 1}

pis,Polityka,Jak PiS walczy³ o darmowe plakaty wyborcze na p³otach,"{'radoœæ': 2, 'wstrêt': 1, 'z³oœæ': 1}"

pedofilia,Polityka,"Pedofilia: odmiany, przyczyny, leczenie","{'smutek': 1, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 1, 'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

pis,Polityka,Koalicja na strachu przed PiS ju¿ nie zyska,{'strach': 1}

ue,Polityka,10 najlepszych wyników w wyborach do PE. Beata Szyd³o rekordzistk¹,"{'radoœæ': 2, 'zaufanie': 2}"

koalicja obywatelska,Polityka,"Passent: Najgorsze, co mog³aby zrobiæ opozycja, to ulec rezygnacji","{'smutek': 2, 'z³oœæ': 2}"

pis,Polityka,PiS zdecydowanie wygrywa. Ale to jeszcze nie koniec,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Polityka,Koalicja straci³a. I na strachu przed PiS ju¿ nie zyska,{'strach': 1}

lewica razem,Polityka,"Wynik 1,24 proc. dla ka¿dego ugrupowania by³by wstrz¹sem. Czy to koniec partii Razem?","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Polityka,PiS przymierza siê do rekonstrukcji rz¹du. Mno¿¹ siê kolejne spekulacje,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

ue,Polityka,Pierwszy raz w historii dwie najwiêksze partie PE nie zajm¹ ponad po³owy miejsc w izbie,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'strach': 2, 'z³oœæ': 2}"

koalicja obywatelska,Polityka,Opozycja wci¹¿ mo¿e wygraæ,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

pis,Polityka,To oni zrobili kampaniê PiS,"{'smutek': 1, 'z³oœæ': 1}"

lewica razem,Polityka,Czy to koniec partii Razem?,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

w³ochy,Polityka,"Matteo Salvini wygra³ w kraju, ale przegra³ w Europie","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

pis,Polityka,W jaki sposób pozornie zdrowe jedzenie przyczynia siê do oty³oœci i chorób,"{'radoœæ': 1, 'smutek': 2, 'z³oœæ': 1, 'wstrêt': 1}"

pis,Polityka,PiS przymierza siê do rekonstrukcji rz¹du. Mno¿¹ siê spekulacje,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

usa,Polityka,Trump grozi wojn¹ celn¹ z powodu migrantów,{'radoœæ': 1}

koœció³,Polityka,Jak Koœció³ (nie) walczy z pedofili¹,"{'radoœæ': 1, 'wstrêt': 2, 'z³oœæ': 2, 'smutek': 1, 'strach': 1}"

rosja,WPolityce,Wa¿ne s³owa prof. Andrzeja Nowaka w Berlinie: Rosja mo¿e traktowaæ Polskê tylko jako wasala albo wroga,{'zaufanie': 1}

rz¹d,WPolityce,Rz¹d walczy z pedofili¹! S³owa Morawieckiego,"{'radoœæ': 2, 'wstrêt': 4, 'z³oœæ': 4, 'smutek': 2, 'strach': 2}"

pis,WPolityce,Szyd³o: Polskie PKB wy¿sze od szwedzkiego,"{'radoœæ': 1, 'zaufanie': 1}"

szkolnictwo,WPolityce,Broniarz chce podwy¿ek dla strajkuj¹cych nauczycieli,"{'radoœæ': 1, 'smutek': 1, 'z³oœæ': 1}"

pis,WPolityce,Szyd³o o zbrodniach wobec dzieci,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,WPolityce,Ks. Boniecki by³ prze³o¿onym pedofila,"{'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,WPolityce,Mazurek odpowiada aktywistom,"{'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,WPolityce,SONDA¯. Tusk liderem rankingu zaufania,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaufanie': 1}"

komunizm,WPolityce,NASZ WYWIAD. Rzymkowski: Sekielskiemu umkn¹³ jeden wa¿ny element - ksiê¿a pokazani w filmie byli wspó³pracownikami SB,"{'zaufanie': 1, 'strach': 1, 'wstrêt': 1}"

polska,WPolityce,"NASZ NEWS. Minister Bañka nowym szefem Œwiatowej Organizacji Antydopingowej. ""To wa¿ny moment dla Polski""","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1, 'radoœæ': 1, 'zaufanie': 1}"

ue,WPolityce,UJAWNIAMY. Znamy kulisy dzisiejszej rozprawy przed TSUE! Wielki sukces przedstawicieli KRS i PG oraz kompromitacja wys³anników Gersdorf i „kasty”,"{'smutek': 1, 'wstrêt': 2, 'z³oœæ': 2}"

koalicja obywatelska,WPolityce,"Kompromitacja Kopacz! Nie rozumie wa¿nych projektów, które sama wprowadza³a! Hora³a: „Tragikomedia, ¿enuj¹cy spektakl”","{'smutek': 1, 'wstrêt': 2, 'z³oœæ': 2, 'radoœæ': 1, 'zaufanie': 2, 'zaskoczenie czymœ nieprzewidywanym': 1}"

pis,WPolityce,"Aktywiœci Greenpeace w rêkach policji. Zatrzymanych zosta³o 46 osób, które bra³y udzia³ w protestach przed siedzibami PiS i PO","{'radoœæ': 4, 'wstrêt': 2, 'z³oœæ': 4, 'smutek': 2}"

opozycja,WPolityce,NASZ NEWS. Postêpowanie ws. skandalicznych s³ów mec. Dubois. Prof. Paw³owicz: Nic nie usprawiedliwia takiej wypowiedzi,"{'smutek': 4, 'z³oœæ': 4, 'radoœæ': 2, 'wstrêt': 2, 'zaufanie': 2}"

rz¹d,WPolityce,"Rz¹d przedstawia konkretne propozycje walki z pedofili¹! Premier:  Ka¿de obrzydliwe, bestialskie zachowanie bêdzie surowo napiêtnowane","{'smutek': 6, 'strach': 4, 'wstrêt': 4, 'z³oœæ': 6}"

koalicja obywatelska,WPolityce,"Kopacz daje popis bezczelnoœci przed komisj¹ VAT: ""Dlaczego urzêdnicy Kaczyñskiego s¹ hojni dla Ojca Rydzyka! Prezes usi¹dzie na moim miejscu""","{'radoœæ': 2, 'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2, 'zaskoczenie czymœ nieprzewidywanym': 1, 'zaufanie': 1}"

koalicja obywatelska,WPolityce,Trzaskowski w œwietnej komitywie ze œrodowiskiem LGBT. Warszawska Parada Równoœci po raz pierwszy w historii pod patronatem prezydenta,"{'radoœæ': 4, 'strach': 4, 'z³oœæ': 4, 'cieszenie siê na coœ oczekiwanego': 2, 'smutek': 2}"

wiosna,WPolityce,"Biedroñ chce rozliczaæ Koœció³, a co zrobi³ z afer¹ pedofilsk¹ w S³upsku? Mówi, ¿e wszystko. Rzecznik prokuratury ma inne zdanie","{'smutek': 2, 'z³oœæ': 4, 'wstrêt': 2}"

koœció³,WPolityce,"Jest wniosek o karê dla Arabskiego. Ze wsparciem spieszy ks. Sowa: ""Nie pozwolê ¿eby ktokolwiek ciê skrzywdzi³! Prawda zwyciê¿y""","{'smutek': 1, 'z³oœæ': 1}"

koalicja obywatelska,WPolityce,"Po filmie Sekielskiego M³ynarska oskar¿a Wajdê: ""Mia³am 14 lat kiedy zmusi³ mnie do zagrania nago bardzo odwa¿nej sceny erotycznej""",{'zaufanie': 1}

koalicja obywatelska,WPolityce,Skandal! Rtm. Pilecki w ¿ydowskiej encyklopedii zosta³ uznany za Niemca. Po interwencji polskiej ambasady oznaczono go jako... ¯yda,"{'wstrêt': 1, 'radoœæ': 1, 'zaufanie': 1}"

koœció³,WPolityce,"O. Leon Knabit zadaje wa¿ne pytanie Sekielskiemu: ""Czy rzeczywiœcie zale¿y Panu na dobru dzieci w Polsce?""","{'zaufanie': 2, 'radoœæ': 1}"

koalicja obywatelska,WPolityce,"PO obroñc¹ ofiar pedofilów? Internauci odpowiadaj¹ na cynizm Schetyny i przypominaj¹ wypowiedŸ dziennikarki ""GW"" w TVN","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

komunizm,WPolityce,Internauci pytaj¹ Sekielskiego: Którzy pedofile i TW SB z topu zostali ukryci i w jakim celu? KOMENTARZE,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,WPolityce,"Œroda ma nowy cel w ¿yciu! Rozlicza Koœció³ z grzechów: ""Tworzy chorobliw¹ rozpustê. Po co w ogóle zajmuje siê tak obsesyjnie seksem""?","{'smutek': 4, 'wstrêt': 6, 'z³oœæ': 4}"

koalicja obywatelska,WPolityce,"Jest widowisko. Ewa Kopacz przed komisj¹ œledcz¹ ds. VAT. Dziwna mimika, nerwowe gesty i zbêdna pyskówka. INTERNAUCI: ""Baby nie przegadasz""","{'radoœæ': 1, 'wstrêt': 2, 'z³oœæ': 3, 'smutek': 2}"

ue,WPolityce,Europose³ Platformy Janusz Lewandowski a duch wiarygodnoœci,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'zaufanie': 2}"

konfederacja,WPolityce,"Korwin-Mikke ponownie szokuje: Wolê, jak pedofil poklepie mi córkê po pupie, ni¿ jak córka pójdzie na lekcjê wychowania seksualnego","{'smutek': 3, 'strach': 6, 'wstrêt': 3, 'z³oœæ': 3}"

koalicja obywatelska,WPolityce,"Nie wysz³a prowokacja, wiêc wylewaj¹ swoje ¿ale na Twitterze. Wœciek³oœæ po interwencji policji ws. projekcji filmu Sekielskich","{'smutek': 1, 'z³oœæ': 2}"

izrael,WPolityce,"""Dyplomatyczny sukces"" - ""Jerusalem Post"" wprost o celach wizyty izraelskiej delegacji w Polsce. Wieczorem tekst zmieniono","{'radoœæ': 1, 'zaufanie': 1}"

polska,WPolityce,"Bracia Sekielscy laureatami Nagrody Specjalnej Press Club Polska za film ""Tylko nie mów nikomu"". ""To wyraz wdziêcznoœci dla twórców""","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 3, 'wstrêt': 2, 'smutek': 1, 'z³oœæ': 1}"

lewica,WPolityce,"M¹droœæ etapu? W 2013 r. Hartman troszczy³ siê o prawa pedofilów, dziœ zawziêcie atakuje Koœció³: ""Trzymaj dzieci z dala od zboczeñców""","{'strach': 4, 'wstrêt': 4, 'z³oœæ': 6, 'smutek': 2}"

pis,WPolityce,"TYLKO U NAS. Mularczyk: Warto rozwa¿yæ, czy nie wystawiæ w 80. rocznicê wybuchu IIWŒ rachunku za niemieckie zbrodnie wojenne","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 2, 'smutek': 3, 'z³oœæ': 2, 'strach': 1, 'wstrêt': 1}"

rz¹d,WPolityce,"By³a premier kpi z komisji i Polaków: ""Sprawniej, ni¿ obecnie rz¹dz¹cy, walczyliœmy z wy³udzeniami VAT""","{'smutek': 1, 'wstrêt': 2, 'z³oœæ': 2, 'radoœæ': 1}"

koalicja obywatelska,WPolityce,Co za tupet! Komorowski na konferencji w Berlinie oskar¿a polski rz¹d i zapowiada: Przyjdzie czas na wyprostowanie tych spraw,"{'wstrêt': 3, 'z³oœæ': 3}"

ue,WPolityce,KRS ogra³a TSUE! Rzecznik Trybuna³u nie bêdzie siê bawi³ w politykê przed wyborami do PE i wyda swoj¹ opiniê o polskim SN dopiero 27 czerwca,{'zaufanie': 2}

pis,WPolityce,"Spo³eczne konsekwencje tego filmu to jedna kwestia, polityczne - druga. Tu PiS zda³o egzamin, temat mo¿na chyba uznaæ za zamkniêty","{'radoœæ': 1, 'strach': 1}"

koalicja europejska,WPolityce,"Kabaret pod szyldem KE! ""Janda powiedzia³a, ¿e zabrano jej radoœæ ¿ycia!""; ""Chcemy Europy, w której pokonamy odradzaj¹cy siê faszyzm!""",{'radoœæ': 1}

pis,WPolityce,"Brudziñski: Ataki na Koœció³ to próba wywrócenia ca³ego systemu wartoœci, na którym oparta jest kultura nie tylko Polski","{'radoœæ': 3, 'smutek': 3, 'strach': 3, 'z³oœæ': 3}"

pis,WPolityce,"Prof. Paw³owicz dosadnie o rozszerzeniu KE o ""lewackie skrajnoœci"": ""Niby wiejski PSL jest jeszcze bardziej antypolski i antychrzeœcijañski""","{'wstrêt': 12, 'z³oœæ': 12, 'smutek': 6, 'strach': 6}"

koalicja obywatelska,WPolityce,"A to dobre! Ró¿a Thun apeluje o... merytoryczn¹ dyskusjê: Niektórzy z PiS maj¹ napisane, ¿e bêd¹ broniæ dzieci przed seksualizacj¹",{'zaufanie': 2}

polska,WPolityce,Polski ambasador zaatakowany w Izraelu! Do napaœci dosz³o w pobli¿u placówki w Tel Awiwie. Napastnik zosta³ zatrzymany,"{'smutek': 4, 'wstrêt': 4, 'z³oœæ': 4, 'strach': 2}"

niemcy,WPolityce,"Szef Œwiatowego Kongresu ¯ydów broni prawdy: Polacy nie byli winni Auschwitz. To obóz niemiecki, za³o¿ony i prowadzony przez Niemców","{'radoœæ': 1, 'smutek': 1, 'strach': 1}"

koalicja obywatelska,WPolityce,"Schetyna: Wstrzymaliœmy siê podczas g³osowania, bo jawny rejestr pedofilów uderza³ w ofiary. Uwa¿am, ¿e mieliœmy racjê","{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1, 'smutek': 1}"

pis,WPolityce,Wicepremier Gowin podkreœla: Projekt dot. zaostrzenia kar za pedofiliê nie by³ przygotowany pod k¹tem filmu Sekielskich,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,WPolityce,Premier: Rasistowski atak na polskiego ambasadora w Izraelu jest sytuacj¹ niedopuszczaln¹. Polska potêpia ten ksenofobiczny akt agresji,"{'smutek': 12, 'wstrêt': 9, 'z³oœæ': 9, 'zaskoczenie czymœ nieprzewidywanym': 3}"

koœció³,WPolityce,"Robi¹ kampaniê wyborcz¹ na walce z pedofili¹? Scheuring-Wielgus i P³atek na ³amach ""GW"" oskar¿aj¹ Koœció³ i wymiar sprawiedliwoœci","{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

kukiz15,WPolityce,"Kukiz: Jest rzecz¹ oczywist¹ i ogólnie powszechnie znan¹ w œrodowiskach celebryckich, ¿e taki proceder pedofilii ma od dawna miejsce","{'smutek': 2, 'zaufanie': 1, 'z³oœæ': 3, 'wstrêt': 2, 'strach': 1}"

,WPolityce,Bezczelnoœæ! Belka atakuje PiS za projekt zaostrzenia kar za pedofiliê: Próbuj¹ zatuszowaæ swego rodzaju wspólnictwo w tym procederze,"{'smutek': 6, 'wstrêt': 6, 'zaskoczenie czymœ nieprzewidywanym': 2, 'z³oœæ': 8, 'strach': 2, 'zaufanie': 2}"

polska,WPolityce,"Polska jest jednak silnym krajem, skoro wytrzyma³a rz¹dy takich premierów",{'zaufanie': 1}

rz¹d,WPolityce,Magierowski zaatakowany w Izraelu!,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

